pfam_accession	pfam_id	description
PF26733.1	03009_C	Adenylate-forming reductase 03009, C-terminal domain
PF10417.15	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin
PF21734.4	10_blade	10-bladed beta propeller domain
PF21578.5	117-like_vir	Virus, 117-like
PF12574.14	120_Rick_ant	120 KDa Rickettsia surface antigen
PF09847.17	12TM_1	Membrane protein of 12 TMs
PF26127.1	12TM_Mok13	Mok13-like, transmembrane domain
PF00244.27	14-3-3	14-3-3 protein
PF16998.11	17kDa_Anti_2	17 kDa outer membrane surface antigen
PF28546.1	1TM_TonB	TonB transmembrane helix
PF28545.1	1TM_TonB_rel	TonB-like single transmembrane helix
PF00389.37	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF02826.26	2-Hacid_dh_C	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF00198.29	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF16078.11	2-oxogl_dehyd_N	2-oxoglutarate dehydrogenase N-terminus
PF04029.20	2-ph_phosp	2-phosphosulpholactate phosphatase
PF04463.18	2-thiour_desulf	2-thiouracil desulfurase
PF27735.1	2-thiour_desulf_put	Putative 2-thiouracil desulfurase
PF16620.11	23ISL	Unstructured linker between I-set domains 2 and 3 on MYLCK
PF05635.18	23S_rRNA_IVP	23S rRNA-intervening sequence protein
PF22956.3	2AA_helical	Phosphatase 2A Regulatory Subunit A, helical domain
PF20758.3	2B_soluble	2B protein soluble domain
PF22545.3	2CompARG	2-Component system ADP-ribose glycohydrolase domain
PF22546.3	2CompART	2-Component system ADP-ribosyltransferase domain
PF08521.17	2CSK_N	Two-component sensor kinase N-terminal
PF08793.16	2C_adapt	2-cysteine adaptor domain
PF20150.5	2EXR	2EXR family
PF11591.14	2Fe-2S_Ferredox	Ferredoxin chloroplastic transit peptide
PF01257.26	2Fe-2S_thioredx	Thioredoxin-like [2Fe-2S] ferredoxin
PF08975.17	2H-phosphodiest	Domain of unknown function (DUF1868)
PF22547.3	2H-SAK	Swiss Army Knife, 2H phosphoesterase domain
PF03390.21	2HCT	2-hydroxycarboxylate transporter family
PF21584.3	2L_N_poxvirus	Poxvirus, 2L, N-terminal domain
PF03171.27	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily
PF13532.13	2OG-FeII_Oxy_2	2OG-Fe(II) oxygenase superfamily
PF13640.13	2OG-FeII_Oxy_3	2OG-Fe(II) oxygenase superfamily
PF13661.13	2OG-FeII_Oxy_4	2OG-Fe(II) oxygenase superfamily
PF13759.13	2OG-FeII_Oxy_5	Putative 2OG-Fe(II) oxygenase
PF20515.5	2OG-FeII_Oxy_6	Tet-like 2OG-Fe(II) oxygenase superfamily
PF10014.16	2OG-Fe_Oxy_2	2OG-Fe dioxygenase
PF13239.12	2TM	2TM domain
PF23143.2	2TM_P5A-ATPase	P5A-ATPase, transmembrane helical hairpin
PF13563.13	2_5_RNA_ligase2	2'-5' RNA ligase superfamily
PF06983.20	3-dmu-9_3-mt	3-demethylubiquinone-9 3-methyltransferase
PF06052.19	3-HAO	3-hydroxyanthranilic acid dioxygenase
PF12578.14	3-PAP	Myotubularin-associated protein
PF17644.8	30K_MP_core	Jelly-roll domain of 30K viral movement proteins
PF11330.14	30K_MP_C_Ter	C-Terminal of 30K viral movement proteins
PF00803.24	3A	3A/RNA2 movement protein family
PF01073.26	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family
PF06725.18	3D	3D domain
PF02829.20	3H	3H domain
PF22951.2	3HBD	Three-helical bundle domain
PF10605.16	3HBOH	3HB-oligomer hydrolase (3HBOH) 
PF25869.1	3HB_CusB	CusB, three alpha-helical bundle domain
PF00725.28	3HCDH	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF02737.25	3HCDH_N	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF18321.8	3HCDH_RFF	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain
PF06439.19	3keto-disac_hyd	3-keto-alpha-glucoside-1,2-lyase-like domain
PF16121.11	40S_S4_C	40S ribosomal protein S4 C-terminus
PF16122.11	40S_SA_C	40S ribosomal protein SA C-terminus
PF17947.7	4HB	Four helical bundle domain
PF03061.29	4HBT	Thioesterase superfamily
PF13279.13	4HBT_2	Thioesterase-like superfamily
PF13622.13	4HBT_3	Acyl-CoA thioesterase N-terminal domain
PF20789.4	4HBT_3C	Acyl-CoA thioesterase C-terminal domain
PF23313.2	4HB_KIF14	KIF14 four-helical bundle
PF12729.14	4HB_MCP_1	Four helix bundle sensory module for signal transduction
PF26249.1	4HB_RdRP3_N	RdRP3/4/5, N-terminal four helical bundle domain
PF04476.20	4HFCP_synth	4-HFC-P synthase
PF18671.8	4HPAD_g_N	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal
PF17837.7	4PPT_N	4'-phosphopantetheinyl transferase N-terminal domain
PF28548.1	4TM_phosphoesterase	Probable Calcineurin-like phosphoesterase, transmembrane domain
PF05902.19	4_1_CTD	4.1 protein C-terminal domain (CTD)
PF01812.27	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family
PF06189.18	5-nucleotidase	5'-nucleotidase
PF09038.17	53-BP1_Tudor	Tumour suppressor p53-binding protein-1 Tudor
PF21432.4	56B_RHH	56B-like, Ribbon-helix-helix
PF03491.19	5HT_transport_N	Serotonin (5-HT) neurotransmitter transporter, N-terminus
PF07694.18	5TM-5TMR_LYT	5TMR of 5TMR-LYT
PF25221.2	5TMH_Lnb	Lnb transmembrane domain
PF01367.26	5_3_exonuc	5'-3' exonuclease, C-terminal SAM fold
PF02739.23	5_3_exonuc_N	5'-3' exonuclease, N-terminal resolvase-like domain
PF05761.21	5_nucleotid	5' nucleotidase family
PF02872.24	5_nucleotid_C	5'-nucleotidase, C-terminal domain
PF02096.27	60KD_IMP	60Kd inner membrane protein
PF27023.1	6BHPP	6-bladed hairpin-propeller protein
PF01591.25	6PF2K	6-phosphofructo-2-kinase
PF00393.25	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain
